日期,時間,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
20240515,2024-05-15 22:46:57.395204,00676R,富邦臺灣加權反1,12984905,640,30400350,2.36,2.36,2.32,2.34,-,0.03,2.34,2634,2.35,2093,0.00
20240515,2024-05-15 22:46:57.395204,00678,群益那斯達克生技,257911,99,7252465,28.19,28.20,28.09,28.09, ,0.00,28.09,84,28.13,52,0.00
20240515,2024-05-15 22:46:57.395204,00680L,元大美債20正2,36379874,2721,304461243,8.36,8.39,8.36,8.38,+,0.12,8.37,1391,8.38,146,0.00
20240515,2024-05-15 22:46:57.395204,00681R,元大美債20反1,90000,17,1865170,20.70,20.73,20.70,20.70,-,0.16,20.69,5,20.70,1,0.00
20240515,2024-05-15 22:46:57.395204,00682U,期元大美元指數,2000,2,42420,21.21,21.21,21.21,21.21,-,0.05,21.20,25,21.21,2,0.00
20240515,2024-05-15 22:46:57.395204,00683L,期元大美元指正2,384054,47,8808128,22.95,22.95,22.91,22.94,-,0.12,22.91,52,22.94,2,0.00
20240515,2024-05-15 22:46:57.395204,00684R,期元大美元指反1,210,1,3210,,,,, ,0.00,15.35,80,15.39,86,0.00
20240515,2024-05-15 22:46:57.395204,00685L,群益臺灣加權正2,245713,162,18627223,75.15,76.70,75.10,75.45,+,1.30,75.45,222,75.50,1,0.00
20240515,2024-05-15 22:46:57.395204,00686R,群益臺灣加權反1,1753100,63,4413082,2.53,2.53,2.51,2.52,-,0.02,2.52,25,2.53,1598,0.00
20240515,2024-05-15 22:46:57.395204,00688L,國泰20年美債正2,19411045,1228,161717515,8.32,8.34,8.32,8.33,+,0.12,8.33,1762,8.34,1517,0.00
20240515,2024-05-15 22:46:57.395204,00689R,國泰20年美債反1,21100,9,452730,21.47,21.47,21.44,21.45,-,0.19,21.44,3,21.45,102,0.00
20240515,2024-05-15 22:46:57.395204,00690,兆豐藍籌30,5097898,1706,168311166,32.81,33.23,32.81,32.93,+,0.24,32.93,36,32.94,100,0.00
20240515,2024-05-15 22:46:57.395204,00692,富邦公司治理,8374778,3468,334701652,39.64,40.22,39.61,39.86,+,0.39,39.86,10,39.89,85,0.00
20240515,2024-05-15 22:46:57.395204,00693U,期街口S&P黃豆,375870,102,9166311,24.38,24.43,24.34,24.38,-,0.05,24.38,5,24.39,5,0.00
20240515,2024-05-15 22:46:57.395204,00700,富邦恒生國企,691051,273,9350425,13.77,13.77,13.48,13.52,-,0.09,13.51,14,13.52,2,0.00
20240515,2024-05-15 22:46:57.395204,00701,國泰股利精選30,5506650,1422,154033910,27.75,28.10,27.75,27.92,+,0.31,27.91,21,27.92,43,0.00
20240515,2024-05-15 22:46:57.395204,00702,國泰標普低波高息,102123,61,2392624,23.44,23.44,23.43,23.43, ,0.00,23.40,1,23.45,2,0.00
20240515,2024-05-15 22:46:57.395204,00703,台新MSCI中國,48878,74,796667,16.35,16.35,16.27,16.33,-,0.01,16.30,1,16.33,22,0.00
20240515,2024-05-15 22:46:57.395204,00706L,期元大S&P日圓正2,6279719,563,38939203,6.21,6.22,6.19,6.22,+,0.01,6.21,200,6.22,1902,0.00
20240515,2024-05-15 22:46:57.395204,00707R,期元大S&P日圓反1,0,0,0,,,,, ,0.00,29.63,48,29.78,57,0.00
20240515,2024-05-15 22:46:57.395204,00708L,期元大S&P黃金正2,471129,130,16328547,34.63,34.75,34.61,34.64,+,0.29,34.63,3,34.67,175,0.00
20240515,2024-05-15 22:46:57.395204,00709,富邦歐洲,25967,18,781985,30.04,30.13,30.04,30.13,+,0.17,30.05,1,30.14,30,0.00
20240515,2024-05-15 22:46:57.395204,00710B,復華彭博非投等債,333552,120,6456868,19.37,19.38,19.32,19.33,-,0.06,19.33,52,19.34,6,0.00
20240515,2024-05-15 22:46:57.395204,00711B,復華彭博新興債,144111,93,2338931,16.23,16.24,16.20,16.21,-,0.03,16.21,9,16.22,20,0.00
20240515,2024-05-15 22:46:57.395204,00712,復華富時不動產,28994250,5181,287165215,9.90,9.93,9.88,9.88,+,0.11,9.88,393,9.89,534,0.00
20240515,2024-05-15 22:46:57.395204,00713,元大台灣高息低波,7458627,6714,428814011,57.45,57.80,57.20,57.20,-,0.05,57.20,3,57.25,3,0.00
20240515,2024-05-15 22:46:57.395204,00714,群益道瓊美國地產,456009,158,8844705,19.47,19.49,19.37,19.37,+,0.04,19.37,4,19.38,5,0.00
20240515,2024-05-15 22:46:57.395204,00715L,期街口布蘭特正2,14194719,2412,227267641,15.97,16.09,15.95,16.05,-,0.23,16.04,92,16.05,1057,0.00
20240515,2024-05-15 22:46:57.395204,00717,富邦美國特別股,234979,136,3696422,15.78,15.78,15.70,15.70,-,0.10,15.70,20,15.71,3,0.00
20240515,2024-05-15 22:46:57.395204,00728,第一金工業30,695201,263,21000194,30.04,30.31,30.04,30.10,+,0.14,30.09,1,30.10,7,0.00
20240515,2024-05-15 22:46:57.395204,00730,富邦臺灣優質高息,301078,218,6588052,21.92,21.93,21.78,21.79,+,0.06,21.78,10,21.80,2,0.00
20240515,2024-05-15 22:46:57.395204,00731,復華富時高息低波,1932601,975,149168757,76.70,77.50,76.70,76.90,+,0.20,76.90,4,76.95,100,0.00
20240515,2024-05-15 22:46:57.395204,00733,富邦臺灣中小,2890758,5069,166564975,57.35,57.90,57.35,57.55,+,0.30,57.55,2,57.60,75,0.00
20240515,2024-05-15 22:46:57.395204,00735,國泰臺韓科技,112317,106,3928626,34.98,35.00,34.94,34.94,+,0.34,34.79,20,34.88,20,0.00
20240515,2024-05-15 22:46:57.395204,00736,國泰新興市場,101731,8,2299399,22.60,22.62,22.60,22.62,+,0.08,22.54,11,22.62,1,0.00
20240515,2024-05-15 22:46:57.395204,00737,國泰AI+Robo,48039,109,1490007,30.87,31.10,30.87,30.99,+,0.18,30.98,1,30.99,9,0.00
20240515,2024-05-15 22:46:57.395204,00738U,期元大道瓊白銀,680967,176,17973482,26.36,26.44,26.34,26.40,+,0.06,26.40,38,26.41,11,0.00
20240515,2024-05-15 22:46:57.395204,00739,元大MSCI A股,95869,74,2074131,21.56,21.68,21.56,21.64,-,0.04,21.62,1,21.63,20,0.00
20240515,2024-05-15 22:46:57.395204,00752,中信中國50,3390120,1116,65972897,19.58,19.63,19.40,19.41,-,0.17,19.40,69,19.41,30,0.00
20240515,2024-05-15 22:46:57.395204,00753L,中信中國50正2,12091131,1570,107871597,8.90,8.95,8.88,8.93, ,0.00,8.93,114,8.94,95,0.00
20240515,2024-05-15 22:46:57.395204,00757,統一FANG+,2664250,1624,213428202,80.20,80.25,80.00,80.05,+,0.55,80.00,87,80.05,172,0.00
20240515,2024-05-15 22:46:57.395204,00762,元大全球AI,305060,438,18098718,59.25,59.50,59.20,59.20,+,0.35,59.20,69,59.25,10,0.00
20240515,2024-05-15 22:46:57.395204,00763U,期街口道瓊銅,1517260,387,46516605,30.28,31.05,30.28,30.73,+,1.31,30.72,50,30.73,12,0.00
20240515,2024-05-15 22:46:57.395204,00770,國泰北美科技,318548,362,13656133,42.89,42.94,42.76,42.77,+,0.20,42.76,175,42.77,2,0.00
20240515,2024-05-15 22:46:57.395204,00771,元大US高息特別股,157703,80,2769229,17.60,17.60,17.54,17.55,-,0.11,17.54,8,17.55,26,0.00
20240515,2024-05-15 22:46:57.395204,00775B,新光投等債15+,2258,4,77053,34.14,34.14,34.14,34.14,-,0.01,34.08,23,34.20,18,0.00
20240515,2024-05-15 22:46:57.395204,00783,富邦中証500,25161,8,473837,18.81,18.84,18.81,18.84,-,0.05,18.77,73,18.81,30,0.00
20240515,2024-05-15 22:46:57.395204,00830,國泰費城半導體,7522021,2329,334118739,44.40,44.45,44.38,44.41,+,0.71,44.41,14,44.42,116,0.00
20240515,2024-05-15 22:46:57.395204,00850,元大臺灣ESG永續,1293712,1786,54570545,41.80,42.45,41.80,42.15,+,0.48,42.15,6,42.16,3,0.00
20240515,2024-05-15 22:46:57.395204,00851,台新全球AI,24536,115,1035665,42.11,42.26,42.10,42.24,+,0.18,42.21,6,42.22,18,0.00
20240515,2024-05-15 22:46:57.395204,00852L,國泰美國道瓊正2,257405,34,6348444,24.66,24.69,24.62,24.63,+,0.11,24.63,250,24.64,250,0.00
20240515,2024-05-15 22:46:57.395204,00861,元大全球未來通訊,80683,175,3204782,39.58,39.77,39.58,39.70,+,0.19,39.68,126,39.72,5,0.00
20240515,2024-05-15 22:46:57.395204,00865B,國泰US短期公債,150048,98,6764983,45.17,45.18,45.05,45.05,-,0.26,45.05,1,45.08,1,0.00
20240515,2024-05-15 22:46:57.395204,00875,國泰網路資安,99190,100,3205931,32.34,32.37,32.30,32.30,+,0.22,32.24,187,32.30,55,0.00
20240515,2024-05-15 22:46:57.395204,00876,元大全球5G,644814,193,24671439,38.22,38.32,38.19,38.23,+,0.29,38.23,96,38.24,4,0.00
20240515,2024-05-15 22:46:57.395204,00878,國泰永續高股息,120893011,39742,2837539923,23.42,23.61,23.33,23.40,+,0.10,23.40,76,23.41,2168,0.00
20240515,2024-05-15 22:46:57.395204,00881,國泰台灣5G+,12521767,4643,278069849,22.06,22.32,22.05,22.15,+,0.14,22.13,2,22.15,268,0.00
20240515,2024-05-15 22:46:57.395204,00882,中信中國高股息,32219931,8219,381760263,11.96,11.98,11.79,11.82,-,0.13,11.82,136,11.83,835,0.00
20240515,2024-05-15 22:46:57.395204,00885,富邦越南,7036605,1855,84716030,12.04,12.07,12.01,12.04, ,0.00,12.03,1260,12.04,1,0.00
20240515,2024-05-15 22:46:57.395204,00891,中信關鍵半導體,15756711,4413,283040580,17.88,18.03,17.88,17.91,+,0.17,17.90,291,17.91,262,0.00
20240515,2024-05-15 22:46:57.395204,00892,富邦台灣半導體,8366677,1577,127851811,15.27,15.34,15.22,15.23,+,0.11,15.22,58,15.23,67,0.00
20240515,2024-05-15 22:46:57.395204,00893,國泰智能電動車,4113943,1246,84734493,20.63,20.64,20.55,20.55,+,0.17,20.55,92,20.56,41,0.00
20240515,2024-05-15 22:46:57.395204,00894,中信小資高價30,2036386,420,38918046,18.91,19.20,18.91,19.04,+,0.15,19.03,5,19.04,18,0.00
20240515,2024-05-15 22:46:57.395204,00895,富邦未來車,785116,518,19524891,24.88,24.91,24.81,24.82,+,0.17,24.82,135,24.83,2,0.00
20240515,2024-05-15 22:46:57.395204,00896,中信綠能及電動車,1115641,452,19559391,17.41,17.60,17.41,17.47,+,0.08,17.46,8,17.47,8,0.00
20240515,2024-05-15 22:46:57.395204,00897,富邦基因免疫生技,1305296,217,10579524,8.11,8.12,8.08,8.08,+,0.01,8.08,263,8.09,39,0.00
20240515,2024-05-15 22:46:57.395204,00898,國泰基因免疫革命,738578,202,5272068,7.16,7.16,7.11,7.11,-,0.03,7.11,87,7.12,4,0.00
20240515,2024-05-15 22:46:57.395204,00899,FT潔淨能源,115894,144,2033534,17.57,17.57,17.50,17.51,+,0.26,17.51,4,17.52,10,0.00
20240515,2024-05-15 22:46:57.395204,00900,富邦特選高股息30,15941681,4157,255226541,15.99,16.06,15.92,15.94,-,0.05,15.93,162,15.94,20,0.00
20240515,2024-05-15 22:46:57.395204,00901,永豐智能車供應鏈,1043890,295,19534662,18.64,18.80,18.61,18.64,+,0.14,18.64,4,18.65,10,0.00
20240515,2024-05-15 22:46:57.395204,00902,中信電池及儲能,2682872,540,27116834,10.03,10.15,10.03,10.08,+,0.05,10.08,471,10.09,18,0.00
20240515,2024-05-15 22:46:57.395204,00903,富邦元宇宙,1243671,285,16664504,13.40,13.41,13.36,13.37,+,0.07,13.37,231,13.38,15,0.00
20240515,2024-05-15 22:46:57.395204,00904,新光臺灣半導體30,2710307,540,45728541,16.90,16.96,16.79,16.79,+,0.13,16.79,97,16.80,114,0.00
20240515,2024-05-15 22:46:57.395204,00905,FT臺灣Smart,2146679,858,27220282,12.60,12.75,12.60,12.63,+,0.10,12.63,8,12.64,22,0.00
20240515,2024-05-15 22:46:57.395204,00907,永豐優息存股,3239296,713,52327038,16.10,16.28,16.03,16.13,+,0.03,16.13,15,16.14,3,0.00
20240515,2024-05-15 22:46:57.395204,00908,富邦入息REITs+,571438,83,7135527,12.52,12.56,12.46,12.46,+,0.02,12.46,35,12.47,100,0.00
20240515,2024-05-15 22:46:57.395204,00909,國泰數位支付服務,1786815,749,44428382,24.93,24.93,24.82,24.85,+,0.24,24.85,67,24.86,2,0.00
20240515,2024-05-15 22:46:57.395204,00910,第一金太空衛星,253422,17,4352293,17.07,17.25,17.07,17.18,+,0.29,17.14,188,17.18,88,0.00
20240515,2024-05-15 22:46:57.395204,00911,兆豐洲際半導體,291009,146,7908137,27.01,27.22,27.01,27.15,+,0.33,27.15,42,27.16,18,0.00
20240515,2024-05-15 22:46:57.395204,00912,中信臺灣智慧50,439646,248,7821221,17.56,17.90,17.56,17.76,+,0.20,17.75,7,17.76,73,0.00
20240515,2024-05-15 22:46:57.395204,00913,兆豐台灣晶圓製造,664457,91,13382752,20.14,20.21,20.06,20.06,+,0.13,20.05,7,20.06,5,0.00
20240515,2024-05-15 22:46:57.395204,00915,凱基優選高股息30,7859524,2295,207010881,26.24,26.42,26.23,26.24,+,0.02,26.24,263,26.25,110,0.00
20240515,2024-05-15 22:46:57.395204,00916,國泰全球品牌50,157743,258,3412308,21.62,21.66,21.61,21.62,+,0.04,21.61,1,21.62,34,0.00
20240515,2024-05-15 22:46:57.395204,00917,中信特選金融,890125,140,17425041,19.60,19.63,19.55,19.56,+,0.08,19.55,50,19.56,6,0.00
20240515,2024-05-15 22:46:57.395204,00918,大華優利高填息30,10185008,3633,248883329,24.45,24.56,24.32,24.33,-,0.12,24.33,20,24.34,104,0.00
20240515,2024-05-15 22:46:57.395204,00919,群益台灣精選高息,78928851,39114,1973251660,25.06,25.10,24.90,24.92,-,0.13,24.91,494,24.92,581,0.00
20240515,2024-05-15 22:46:57.395204,00920,富邦ESG綠色電力,187413,98,2743103,14.60,14.66,14.60,14.62,+,0.12,14.61,10,14.62,29,0.00
20240515,2024-05-15 22:46:57.395204,00921,兆豐龍頭等權重,1138144,440,22191893,19.34,19.60,19.34,19.40,+,0.09,19.39,101,19.40,4,0.00
20240515,2024-05-15 22:46:57.395204,00922,國泰台灣領袖50,7982253,2799,159002509,19.75,20.02,19.75,19.87,+,0.17,19.86,12,19.87,133,0.00
20240515,2024-05-15 22:46:57.395204,00923,群益台ESG低碳50,5940362,2622,121813022,20.38,20.62,20.38,20.47,+,0.19,20.46,53,20.47,27,0.00
20240515,2024-05-15 22:46:57.395204,00924,復華S&P500成長,879610,370,18303150,20.87,20.88,20.76,20.76,+,0.01,20.76,119,20.78,7,0.00
20240515,2024-05-15 22:46:57.395204,00925,新光標普電動車,217000,5,3610900,16.65,16.65,16.62,16.62,+,0.14,16.61,230,16.64,203,0.00
20240515,2024-05-15 22:46:57.395204,00926,凱基全球菁英55,686342,154,14146609,20.64,20.70,20.56,20.57,+,0.02,20.55,282,20.57,4,0.00
20240515,2024-05-15 22:46:57.395204,00927,群益半導體收益,7569480,2280,142798762,18.85,18.94,18.78,18.79,+,0.08,18.78,67,18.79,29,0.00
20240515,2024-05-15 22:46:57.395204,00929,復華台灣科技優息,115711197,32598,2347135580,20.30,20.36,20.18,20.20, ,0.00,20.19,1115,20.20,1381,0.00
20240515,2024-05-15 22:46:57.395204,00930,永豐ESG低碳高息,3052441,997,61882282,20.30,20.36,20.16,20.18,-,0.04,20.18,11,20.20,100,0.00
20240515,2024-05-15 22:46:57.395204,00932,兆豐永續高息等權,19452651,4564,349874486,18.02,18.03,17.93,18.01,+,0.10,18.00,117,18.01,51,0.00
20240515,2024-05-15 22:46:57.395204,00934,中信成長高股息,5677277,2091,106567297,18.73,18.86,18.68,18.68,-,0.03,18.68,19,18.69,58,0.00
20240515,2024-05-15 22:46:57.395204,00935,野村臺灣新科技50,6908546,1749,138117401,19.98,20.10,19.90,19.90,+,0.13,19.89,9,19.90,66,0.00
20240515,2024-05-15 22:46:57.395204,00936,台新永續高息中小,10648988,2444,193631246,18.20,18.27,18.13,18.16,+,0.03,18.15,91,18.16,1,0.00
20240515,2024-05-15 22:46:57.395204,00939,統一台灣高息動能,26013769,6662,376441970,14.45,14.53,14.40,14.41,-,0.04,14.40,776,14.41,145,0.00
20240515,2024-05-15 22:46:57.395204,00940,元大台灣價值高息,137338548,29592,1330324210,9.71,9.73,9.62,9.63,-,0.07,9.62,2862,9.63,41,0.00
20240515,2024-05-15 22:46:57.395204,00941,中信上游半導體,13886797,3295,206590993,14.92,14.94,14.83,14.83,-,0.02,14.83,1813,14.84,2,0.00
20240515,2024-05-15 22:46:57.395204,00944,野村趨勢動能高息,10939943,3075,163286858,14.90,14.98,14.85,14.89,+,0.07,14.88,14,14.89,265,0.00
20240515,2024-05-15 22:46:57.395204,00945B,凱基美國非投等債,15265827,2205,228227596,14.99,14.99,14.93,14.94,-,0.05,14.94,27,14.95,2026,0.00
20240515,2024-05-15 22:46:57.395204,00946,群益科技高息成長,49872611,6656,498439130,9.98,10.03,9.96,9.97,+,0.01,9.96,2337,9.97,62,0.00
20240515,2024-05-15 22:46:57.395204,01001T,土銀富邦R1,102000,4,1485110,14.56,14.56,14.55,14.55,-,0.01,14.45,1,14.55,1,0.00
20240515,2024-05-15 22:46:57.395204,01002T,土銀國泰R1,313000,12,5368540,17.20,17.20,17.15,17.20,+,0.10,17.17,1,17.20,430,0.00
20240515,2024-05-15 22:46:57.395204,01004T,土銀富邦R2,134000,17,1711900,12.75,12.80,12.75,12.80,+,0.02,12.75,2,12.79,48,0.00
20240515,2024-05-15 22:46:57.395204,01007T,兆豐國泰R2,210600,21,3554520,16.90,16.90,16.76,16.90,+,0.05,16.79,1,16.90,58,0.00
20240515,2024-05-15 22:46:57.395204,01009T,王道圓滿R1,25000,7,200510,8.02,8.03,8.02,8.02, ,0.00,8.02,6,8.03,8,0.00
20240515,2024-05-15 22:46:57.395204,01010T,京城樂富R1,50000,11,503550,10.08,10.08,10.07,10.07,-,0.01,10.06,1,10.07,5,0.00
20240515,2024-05-15 22:46:57.395204,020000,富邦特選蘋果N,0,0,0,,,,, ,0.00,11.23,10,11.24,10,0.00
20240515,2024-05-15 22:46:57.395204,020011,統一微波高息20N,0,0,0,,,,, ,0.00,10.18,351,10.19,250,0.00
